Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,-9999
Lauri Markkanen,33:29,.769,.769,.538,.000,8.0,11.9,10.2,19.6,0.0,0.0,7.1,18.4,157,122,4.1,markkla01
Keyonte George,29:55,.581,.542,.583,.333,0.0,6.7,3.8,37.6,3.4,0.0,17.9,24.7,124,117,-3.1,georgke01
Walker Kessler,28:40,1.046,1.143,.286,1.143,9.3,24.4,17.9,18.5,3.6,15.6,8.7,17.7,191,101,18.5,kesslwa01
Kyle Filipowski,24:32,.450,.450,.600,.000,10.9,8.2,9.3,24.4,0.0,4.6,0.0,18.0,135,121,-5.5,filipky01
Svi Mykhailiuk,24:26,1.125,1.125,1.000,.000,0.0,4.1,2.3,14.0,2.1,0.0,0.0,7.2,219,121,5.8,mykhasv01
Brice Sensabaugh,22:41,.698,.654,.538,.231,0.0,17.6,10.1,12.8,2.3,0.0,6.5,29.8,139,114,-0.7,sensabr01
Ace Bailey,20:10,.200,.200,.400,.000,6.6,14.9,11.3,10.4,0.0,0.0,16.7,13.1,75,121,-15.8,baileac01
Taylor Hendricks,18:42,.838,.833,.500,.667,14.3,21.4,18.3,0.0,2.7,6.0,20.5,23.0,130,109,3.0,hendrta01
Walter Clayton,18:05,.592,.563,.375,.125,22.1,16.6,19.0,35.5,5.6,0.0,19.2,25.5,131,107,4.6,claytwa01
Jusuf NurkiÄ‡,16:56,.444,.444,.333,.000,7.9,17.7,13.5,23.2,6.0,0.0,10.0,26.1,108,106,-4.2,nurkiju01
Cody Williams,2:24,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,127,-11.2,willico04
Kyle Anderson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,anderky01
Elijah Harkless,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,harklej01
Kevin Love,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,loveke01
Oscar Tshiebwe,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,tshieos01
Team Totals,240,.673,.649,.506,.230,36.1,68.8,54.8,79.2,11.7,14.0,11.9,100.0,137.3,114.9,,-9999
